Category,Department,Keywords,Severity
Theft,Directorate of Police,"cleaned out my, larceny, break-in, ransacked",High
Drug-Related Offenses,Chief of Narcotics Control,"drug meetup, dealing from car, selling drugs, lots of traffic",Medium
Fraud,Head of Financial Crimes Unit,"money laundering, telemarketing fraud, unauthorized purchase, credit card, bank scam, got scammed",Medium
Assault,Commissioner of Law Enforcement,"domestic violence, pushed me around, gang violence, violence, physical abuse, assault and battery",Medium
Fraud,Head of Financial Crimes Unit,"false promises, identity stolen, real estate fraud",High
Assault,Commissioner of Law Enforcement,"domestic violence, physical threat, assault with weapon, threatened to hurt, hit",Critical
Fraud,Head of Financial Crimes Unit,"suspicious charge, inheritance scam, credit card skimming, ripped off, gift card scam",Medium
Assault,Commissioner of Law Enforcement,"coming after me, threatening, hit",High
Theft,Directorate of Police,"retail theft, commercial burglary, theft from vehicle",Medium
Assault,Commissioner of Law Enforcement,"unprovoked attack, roughed up, armed assault",Critical
Theft,Directorate of Police,"took my stuff, broke into my house, took everything, shoplifting, nicked my, lifted my wallet",High
Theft,Directorate of Police,"stolen from my yard, porch pirate, broke into my house, someone took my, taken from my car",Critical
Theft,Directorate of Police,"taken from my car, property theft, copper wire theft, grand theft, auto theft, items missing",High
Drug-Related Offenses,Chief of Narcotics Control,"opioids, suspicious transactions, pills for sale",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug addiction, methamphetamine, designer drugs, suspicious transactions, fentanyl, lots of traffic",Critical
Cybercrime,Head of Cyber Crime Bureau,"online impersonation, internet fraud, bitcoin scam, identity breach, computer virus, website defacement",High
Assault,Commissioner of Law Enforcement,"street fight, getting in my face, hit",Critical
Cybercrime,Head of Cyber Crime Bureau,"online harassment, cyber harassment, spam emails, email compromise, strange messages, denial of service",High
Fraud,Head of Financial Crimes Unit,"check fraud, healthcare fraud, wire fraud",Low
Fraud,Head of Financial Crimes Unit,"financial deception, tax fraud, bank scam",Medium
Theft,Directorate of Police,"property theft, lifted my wallet, robbed, auto theft, stealing",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, possession, drugs",High
Cybercrime,Head of Cyber Crime Bureau,"internet fraud, social media hack, cyber fraud, cyber terrorism",Critical
Cybercrime,Head of Cyber Crime Bureau,"social engineering, webcam hacked, ransomware, malware, online impersonation, digital theft",Critical
Assault,Commissioner of Law Enforcement,"workplace violence, punch, acting aggressive, violent attack, bodily harm, bar fight",High
Theft,Directorate of Police,"missing from my porch, took my stuff, purse snatching, shoplifting, emptied my",High
Assault,Commissioner of Law Enforcement,"pushed me around, physical injury, came at me",High
Cybercrime,Head of Cyber Crime Bureau,"social media scam, cryptocurrency scam, computer virus, password stolen, website defacement",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug overdose, suspicious visitors, drug cartel, dealing from car, drug house, crystal meth",Low
Assault,Commissioner of Law Enforcement,"violent confrontation, beaten, acting aggressive, physical threat",Medium
Assault,Commissioner of Law Enforcement,"violent attack, fight, getting violent, getting physical, knocked me down, physical harassment",High
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, drug conspiracy, dealing drugs, crystal meth, suspicious visitors, possession",Low
Assault,Commissioner of Law Enforcement,"violent confrontation, street fight, assault with weapon, violent attack",Critical
Fraud,Head of Financial Crimes Unit,"ripped off, took my money, tax fraud, loan fraud, embezzlement",Critical
Fraud,Head of Financial Crimes Unit,"fake email, social security fraud, credit card skimming, tax fraud, strange transaction, identity theft",High
Fraud,Head of Financial Crimes Unit,"bank scam, securities fraud, money transfer scam, card got charged",Critical
Theft,Directorate of Police,"property theft, auto theft, missing, took my stuff, copper wire theft",Critical
Assault,Commissioner of Law Enforcement,"aggressive behavior, got into a fight, fight, battery, pushed me around",Critical
Fraud,Head of Financial Crimes Unit,"false promises, took my money, medicare fraud, bank fraud, got scammed, lottery scam",High
Cybercrime,Head of Cyber Crime Bureau,"database breach, cyber threat, online scam, cyber attack, digital extortion",Medium
Cybercrime,Head of Cyber Crime Bureau,"tech support scam, cyber terrorism, botnet attack",Low
Theft,Directorate of Police,"missing from my porch, broke into my house, broke in and took",Medium
Theft,Directorate of Police,"laptop stolen, package theft, vehicle break-in",Medium
Drug-Related Offenses,Chief of Narcotics Control,"heroin, possession, drug laboratory, illegal prescriptions, methamphetamine",High
Assault,Commissioner of Law Enforcement,"workplace violence, getting violent, roughed up",Low
Theft,Directorate of Police,"missing, stolen from my yard, disappeared with, looted, car theft, nicked my",Low
Cybercrime,Head of Cyber Crime Bureau,"data theft, credential theft, database breach, online scam, password stolen, website defacement",High
Theft,Directorate of Police,"looted, grand theft, disappeared with, stolen from my yard",High
Drug-Related Offenses,Chief of Narcotics Control,"illegal substances, drug cartel, illegal prescription, drug meetup, crystal meth, opioids",Low
Assault,Commissioner of Law Enforcement,"violence, school violence, aggravated assault, beat me up",High
Assault,Commissioner of Law Enforcement,"gang violence, road rage incident, physical intimidation",High
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, cyber fraud, online harassment",Critical
Theft,Directorate of Police,"residential burglary, items missing, car theft, car gone, theft, copper wire theft",Low
Assault,Commissioner of Law Enforcement,"getting physical, violent behavior, attack, roughed up",Critical
Fraud,Head of Financial Crimes Unit,"too good to be true, credit card skimming, fake job offer",Low
Assault,Commissioner of Law Enforcement,"unprovoked attack, battery, started swinging, ganged up on, physical abuse, threw punches",Low
Theft,Directorate of Police,"theft, stole from me, nicked my",High
Fraud,Head of Financial Crimes Unit,"telemarketing fraud, money disappeared, gift card scam, tax fraud, money transfer scam",Critical
Cybercrime,Head of Cyber Crime Bureau,"ransomware, spam emails, email hacked, spyware, database breach",Low
Drug-Related Offenses,Chief of Narcotics Control,"narcotic sales, drug paraphernalia, drug meetup, suspicious visitors",Low
Fraud,Head of Financial Crimes Unit,"fake email, lottery scam, fake website, healthcare fraud, mail fraud",Critical
Theft,Directorate of Police,"car theft, lifted my wallet, stolen package, catalytic converter theft, nicked my, package theft",High
Cybercrime,Head of Cyber Crime Bureau,"computer virus, internet scam, cyber attack, email scam",Low
Assault,Commissioner of Law Enforcement,"fight, violent confrontation, bar fight, assault and battery",Medium
Theft,Directorate of Police,"stole from me, laptop stolen, ransacked, lifted my wallet",Low
Cybercrime,Head of Cyber Crime Bureau,"ransomware, computer virus, social media scam, account hacked",Medium
Drug-Related Offenses,Chief of Narcotics Control,"narcotics, suspicious transactions, strange odors, people coming and going, methamphetamine",High
Fraud,Head of Financial Crimes Unit,"ponzi scheme, financial deception, suspicious charge, fake job offer, pyramid scheme",Critical
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, cyber harassment, digital extortion, crypto scam, social engineering",High
Fraud,Head of Financial Crimes Unit,"counterfeit, identity fraud, identity theft, too good to be true",Critical
Assault,Commissioner of Law Enforcement,"workplace violence, punch, violent behavior, battery",High
Fraud,Head of Financial Crimes Unit,"took my money, wire fraud, mail fraud, romance scam",High
Assault,Commissioner of Law Enforcement,"physical altercation, brawl, unprovoked attack, violent outburst",Low
Cybercrime,Head of Cyber Crime Bureau,"strange messages, data leak, bitcoin scam, cyber blackmail",High
Theft,Directorate of Police,"package theft, items missing, stolen package",Low
Assault,Commissioner of Law Enforcement,"brawl, physical harassment, physical threat",Low
Fraud,Head of Financial Crimes Unit,"pretending to be, social security fraud, telemarketing fraud, forgery",Medium
Drug-Related Offenses,Chief of Narcotics Control,"controlled substances, suspicious visitors, crack house, drug related, drug meetup, drug ring",High
Fraud,Head of Financial Crimes Unit,"lottery scam, telemarketing fraud, embezzlement, loan fraud",Critical
Fraud,Head of Financial Crimes Unit,"employment fraud, fraudulent documents, lottery scam, healthcare fraud, phone scam",Medium
Theft,Directorate of Police,"porch pirate, laptop stolen, commercial burglary",Low
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, drug meetup, narcotic sales",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, email hacked, digital extortion, cyber security breach",Low
Cybercrime,Head of Cyber Crime Bureau,"online harassment, online scam, cryptocurrency scam",Medium
Assault,Commissioner of Law Enforcement,"attack, violent behavior, roughed up, got into a fight",Low
Fraud,Head of Financial Crimes Unit,"medicare fraud, fake check, bank fraud, payment fraud",High
Assault,Commissioner of Law Enforcement,"picked a fight, unprovoked attack, violent outburst, bodily harm",Low
Assault,Commissioner of Law Enforcement,"started swinging, assault and battery, got attacked, street fight",Critical
Cybercrime,Head of Cyber Crime Bureau,"spyware, data leak, computer virus, credential theft, digital extortion",Medium
Assault,Commissioner of Law Enforcement,"getting threatening, armed assault, street fight",Medium
Assault,Commissioner of Law Enforcement,"school violence, domestic violence, street fight, assault and battery",Critical
Cybercrime,Head of Cyber Crime Bureau,"credential theft, weird emails, cyber harassment, computer virus",Low
Theft,Directorate of Police,"robbed, car theft, lifted my wallet, broke into my house",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug cartel, illegal prescription, dealing from car, drug manufacturing",Low
Assault,Commissioner of Law Enforcement,"battery, physical altercation, trying to fight",Medium
Assault,Commissioner of Law Enforcement,"bar fight, coming after me, came at me, domestic violence",Low
Fraud,Head of Financial Crimes Unit,"fake check, insurance fraud, money laundering, employment fraud",Medium
Fraud,Head of Financial Crimes Unit,"fake email, insurance scam, fake job offer",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug laboratory, heroin, drug house, drug related, drug distribution, drug manufacturing",Low
Fraud,Head of Financial Crimes Unit,"got scammed, check fraud, healthcare fraud, internet fraud, lottery scam, embezzlement",Critical
Cybercrime,Head of Cyber Crime Bureau,"spyware, email compromise, identity stolen online",High
Theft,Directorate of Police,"property theft, bike gone, auto theft, shoplifting",High
Theft,Directorate of Police,"broke into my house, cash stolen, residential burglary",Low
Fraud,Head of Financial Crimes Unit,"romance scam, money laundering, strange transaction, scam, ponzi scheme, unauthorized purchase",High
Drug-Related Offenses,Chief of Narcotics Control,"ecstasy, heroin, drug activity, drug overdose",Critical
Theft,Directorate of Police,"grand theft, grabbed my, stole from me, auto theft",Critical
Theft,Directorate of Police,"commercial burglary, bike theft, items missing",Medium
Fraud,Head of Financial Crimes Unit,"internet fraud, pyramid scheme, strange transaction, welfare fraud, credit card",High
Cybercrime,Head of Cyber Crime Bureau,"cyber security breach, strange messages, online impersonation, computer infected, cyber threat",Low
Theft,Directorate of Police,"nicked my, jewelry theft, laptop stolen, items missing, petty theft, stealing",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug exchanges, drug sale, drug cartel, drug addiction",Low
Fraud,Head of Financial Crimes Unit,"social security fraud, securities fraud, credit fraud, got scammed, ponzi scheme, loan fraud",Low
Assault,Commissioner of Law Enforcement,"school violence, knocked me down, picked a fight, getting physical, weapon assault, getting threatening",Low
Theft,Directorate of Police,"cash stolen, lifted my wallet, broke into my house, shoplifting",High
Drug-Related Offenses,Chief of Narcotics Control,"prescription drugs, drug related, marijuana, substance abuse, late night activity",Medium
Assault,Commissioner of Law Enforcement,"came at me, physical injury, attack",High
Assault,Commissioner of Law Enforcement,"got attacked, assault and battery, assault with weapon, street fight, punch",High
Drug-Related Offenses,Chief of Narcotics Control,"drug exchanges, selling drugs, synthetic drugs, drug laboratory, drug sale, crack house",Low
Assault,Commissioner of Law Enforcement,"trying to fight, picked a fight, battery, school violence",Medium
Drug-Related Offenses,Chief of Narcotics Control,"opioids, drug dealing, pharmaceutical theft, suspicious transactions",Medium
Theft,Directorate of Police,"car theft, property theft, retail theft, storage unit theft",High
Fraud,Head of Financial Crimes Unit,"credit card skimming, check fraud, real estate fraud, embezzlement, fake check, money transfer scam",Critical
Theft,Directorate of Police,"missing from my porch, robbed, pinched my",High
Cybercrime,Head of Cyber Crime Bureau,"cyber fraud, internet scam, social media hack, spam emails",Critical
Assault,Commissioner of Law Enforcement,"bar fight, violent behavior, acting aggressive",High
Theft,Directorate of Police,"commercial burglary, catalytic converter theft, took everything, purse snatching",Low
Cybercrime,Head of Cyber Crime Bureau,"email scam, data leak, data theft, digital theft, cyber terrorism, ransomware",Low
Assault,Commissioner of Law Enforcement,"beat me up, getting physical, brutal attack",High
Cybercrime,Head of Cyber Crime Bureau,"digital extortion, pop-up scam, webcam hacked, internet scam",Medium
Cybercrime,Head of Cyber Crime Bureau,"social media hack, online harassment, cyberstalking",Critical
Fraud,Head of Financial Crimes Unit,"insurance fraud, forgery, fraudulent documents",Medium
Cybercrime,Head of Cyber Crime Bureau,"hacking incident, cyber harassment, internet scam, social engineering, online harassment",Medium
Assault,Commissioner of Law Enforcement,"jumped me, started swinging, shoved me, getting violent, weapon assault",Low
Theft,Directorate of Police,"porch pirate, cash stolen, took everything, stolen package",Low
Assault,Commissioner of Law Enforcement,"road rage incident, roughed up, assault with weapon",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, drug conspiracy, fentanyl, drug paraphernalia, dealing from car",Critical
Assault,Commissioner of Law Enforcement,"beat me up, violent outburst, acting aggressive, threatening, knocked me down, aggressive behavior",High
Theft,Directorate of Police,"stole from me, bike gone, theft, stealing",Medium
Theft,Directorate of Police,"stolen from my yard, purse snatching, larceny",Critical
Theft,Directorate of Police,"stole from me, vehicle break-in, bike gone, stolen property, stolen from my yard",High
Drug-Related Offenses,Chief of Narcotics Control,"designer drugs, marijuana, cocaine, drug conspiracy, pharmaceutical theft, drug overdose",Low
Assault,Commissioner of Law Enforcement,"getting in my face, beaten, physical intimidation, shoved me, violent confrontation",Critical
Assault,Commissioner of Law Enforcement,"physical altercation, workplace violence, physical threat, threatening, acting aggressive",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug ring, opioids, drug house",High
Theft,Directorate of Police,"bike theft, vehicle break-in, lifted my wallet, steal, catalytic converter theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"late night activity, drug exchanges, pharmaceutical theft, drug related, drug cartel",Critical
Fraud,Head of Financial Crimes Unit,"too good to be true, advance fee fraud, investment scam, bank scam, suspicious charge",High
Theft,Directorate of Police,"ran off with, lifted my wallet, pickpocket",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug house, crystal meth, drugs, narcotics, pharmaceutical theft",Medium
Theft,Directorate of Police,"stole from me, cash stolen, break-in",Critical
Assault,Commissioner of Law Enforcement,"physical intimidation, trying to fight, unprovoked attack, beat me up, physical harassment",Critical
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, drug addiction, prescription drugs",High
Cybercrime,Head of Cyber Crime Bureau,"strange messages, data leak, phishing, cryptocurrency scam",Low
Theft,Directorate of Police,"bike gone, retail theft, laptop stolen, burglary",Low
Theft,Directorate of Police,"bike theft, nicked my, lifted my wallet, made off with, purse snatching",Medium
Cybercrime,Head of Cyber Crime Bureau,"cryptocurrency scam, computer virus, weird emails, data theft, password stolen, spyware",Critical
Fraud,Head of Financial Crimes Unit,"social security fraud, pretending to be, embezzlement",Low
Theft,Directorate of Police,"took my stuff, steal, car gone",Critical
Assault,Commissioner of Law Enforcement,"got jumped, coming after me, aggravated assault",Critical
Cybercrime,Head of Cyber Crime Bureau,"online scam, spyware, suspicious login, identity stolen online, cyber attack, hacked",Critical
Drug-Related Offenses,Chief of Narcotics Control,"methamphetamine, illegal prescriptions, marijuana, crack house",Medium
Cybercrime,Head of Cyber Crime Bureau,"phishing, keylogger, pop-up scam",Low
Drug-Related Offenses,Chief of Narcotics Control,"crack house, dealing from car, drug overdose, selling drugs, drug house",Critical
Assault,Commissioner of Law Enforcement,"roughed up, threatened to hurt, beat me up, knocked me down",Critical
Theft,Directorate of Police,"lifted my wallet, retail theft, petty theft, property theft, laptop stolen, break-in",High
Drug-Related Offenses,Chief of Narcotics Control,"crack cocaine, designer drugs, drug laboratory",High
Theft,Directorate of Police,"storage unit theft, bike gone, snatched",Medium
Cybercrime,Head of Cyber Crime Bureau,"social engineering, cyber bullying, spyware, password theft, account compromised",High
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, email compromise, hacked, online harassment, email scam",Medium
Assault,Commissioner of Law Enforcement,"physical abuse, beat me up, bar fight",High
Assault,Commissioner of Law Enforcement,"threatening, got jumped, physical injury",Critical
Fraud,Head of Financial Crimes Unit,"insurance fraud, internet fraud, fake check, investment scam",High
Fraud,Head of Financial Crimes Unit,"fake investment, social security fraud, fraudulent documents, money transfer scam, pretending to be, fake currency",Low
Drug-Related Offenses,Chief of Narcotics Control,"crack cocaine, drugs, illegal substances, drug sale, marijuana, methamphetamine",Critical
Assault,Commissioner of Law Enforcement,"physical injury, bar fight, violent outburst, getting in my face",Critical
Theft,Directorate of Police,"car theft, theft, package theft, broke into my house, snatched, catalytic converter theft",High
Cybercrime,Head of Cyber Crime Bureau,"cyber threat, hacked, spam emails, cyber security breach, social media hack",Medium
Cybercrime,Head of Cyber Crime Bureau,"cryptocurrency scam, denial of service, online threats, hacked",Medium
Fraud,Head of Financial Crimes Unit,"strange transaction, mail fraud, bank fraud, pyramid scheme",Low
Fraud,Head of Financial Crimes Unit,"identity stolen, securities fraud, check fraud, insurance fraud, corporate fraud, money disappeared",Low
Assault,Commissioner of Law Enforcement,"physical harassment, picked a fight, got beaten, assault and battery",Medium
Theft,Directorate of Police,"steal, went missing from, break-in, ran off with, bike theft, took everything",Low
Theft,Directorate of Police,"commercial burglary, porch pirate, grabbed my, ran off with, looted",High
Cybercrime,Head of Cyber Crime Bureau,"tech support scam, strange messages, data leak, fake website, trojan horse",Low
Theft,Directorate of Police,"went missing from, took everything, cash stolen",Low
Fraud,Head of Financial Crimes Unit,"insurance fraud, embezzlement, wire fraud, got scammed",Low
Theft,Directorate of Police,"stole from me, package theft, snatched, pickpocket, taken from my car",Critical
Assault,Commissioner of Law Enforcement,"violent attack, trying to fight, getting physical, getting violent, physical injury, hit",Medium
Fraud,Head of Financial Crimes Unit,"fake investment, payment fraud, inheritance scam, romance scam, too good to be true",High
Cybercrime,Head of Cyber Crime Bureau,"cyberstalking, online harassment, email hacked, identity stolen online",Medium
Drug-Related Offenses,Chief of Narcotics Control,"marijuana, opioids, drug related, needles found, prescription drugs, suspicious visitors",Low
Assault,Commissioner of Law Enforcement,"got attacked, assault and battery, threw punches",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, drug addiction, drug drops, crack house",Critical
Fraud,Head of Financial Crimes Unit,"identity theft, fake currency, fake website, suspicious call, got scammed",High
Assault,Commissioner of Law Enforcement,"ganged up on, physical altercation, physical intimidation, bar fight",Critical
Assault,Commissioner of Law Enforcement,"came at me, fight, brutal attack, brawl, throwing things, punch",Low
Drug-Related Offenses,Chief of Narcotics Control,"substance abuse, pharmaceutical theft, illegal prescriptions, drug paraphernalia",Low
Fraud,Head of Financial Crimes Unit,"strange transaction, social security fraud, bank fraud, pretending to be, got scammed, welfare fraud",Critical
Assault,Commissioner of Law Enforcement,"trying to fight, ganged up on, violent confrontation",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug related, crystal meth, opioids, suspicious packages, needles found, drug cultivation",Medium
Assault,Commissioner of Law Enforcement,"getting in my face, violence, brutal attack, beaten, attacked me, hit",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyberstalking, email scam, ransomware, computer infected",High
Theft,Directorate of Police,"retail theft, stole from me, broke into my house, porch pirate, catalytic converter theft, burglary",High
Drug-Related Offenses,Chief of Narcotics Control,"drug dealing, street drugs, crack cocaine",Medium
Theft,Directorate of Police,"took everything, smartphone theft, purse snatching, snatched",High
Assault,Commissioner of Law Enforcement,"bar fight, violent outburst, brutal attack, getting in my face, pushed me around",Low
Assault,Commissioner of Law Enforcement,"beat me up, punch, road rage incident, trying to fight",Medium
Theft,Directorate of Police,"shoplifting, made off with, missing from my porch, lifted my wallet, vehicle break-in",High
Assault,Commissioner of Law Enforcement,"physical harassment, battery, violent attack, bar fight",High
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, computer virus, internet fraud, network intrusion",High
Assault,Commissioner of Law Enforcement,"assault and battery, violence, battery",Critical
Drug-Related Offenses,Chief of Narcotics Control,"selling drugs, drug overdose, suspicious visitors, illegal prescriptions, drug ring",Medium
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, drug related, opioids, drug addiction, narcotics, substance abuse",Low
Assault,Commissioner of Law Enforcement,"physical harassment, street fight, beat me up, started swinging",Low
Drug-Related Offenses,Chief of Narcotics Control,"crack house, suspicious visitors, psychedelic drugs, drug conspiracy",Low
Cybercrime,Head of Cyber Crime Bureau,"internet scam, cyber harassment, online scam, online threats, cyber security breach",High
Cybercrime,Head of Cyber Crime Bureau,"hacking incident, cyber terrorism, botnet attack, online threats",Critical
Fraud,Head of Financial Crimes Unit,"too good to be true, bank scam, fake job offer, money transfer scam",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber extortion, weird emails, cyber threat, ransomware, cyber fraud, cyber blackmail",Low
Drug-Related Offenses,Chief of Narcotics Control,"trafficking, drug related, suspicious visitors",Medium
Theft,Directorate of Police,"porch pirate, ran off with, retail theft, package theft, theft",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug addiction, suspicious visitors, drug activity",High
Fraud,Head of Financial Crimes Unit,"ripped off, got scammed, securities fraud, pyramid scheme",Medium
Assault,Commissioner of Law Enforcement,"started swinging, violent behavior, aggravated assault, roughed up",Critical
Fraud,Head of Financial Crimes Unit,"internet fraud, bank scam, corporate fraud, identity fraud, pyramid scheme",Low
Theft,Directorate of Police,"car gone, missing, copper wire theft, someone took my, grand theft",High
Assault,Commissioner of Law Enforcement,"physical intimidation, got into a fight, armed assault",Low
Assault,Commissioner of Law Enforcement,"physical threat, aggressive behavior, picked a fight",Critical
Cybercrime,Head of Cyber Crime Bureau,"computer virus, account compromised, fake website",Medium
Theft,Directorate of Police,"ran off with, package theft, copper wire theft",Critical
Assault,Commissioner of Law Enforcement,"violent confrontation, attacked me, picked a fight, threw punches",Low
Cybercrime,Head of Cyber Crime Bureau,"weird emails, data leak, cyber blackmail, database breach",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber security breach, network intrusion, online threats, credential theft",Medium
Cybercrime,Head of Cyber Crime Bureau,"email scam, cyber fraud, crypto scam, denial of service, webcam hacked, cryptocurrency scam",Medium
Cybercrime,Head of Cyber Crime Bureau,"bitcoin scam, digital extortion, hacked, strange messages",High
Assault,Commissioner of Law Enforcement,"aggravated assault, violent attack, fight, got beaten",High
Fraud,Head of Financial Crimes Unit,"ripped off, advance fee fraud, social security fraud, credit card, suspicious charge",Medium
Theft,Directorate of Police,"break-in, porch pirate, bike gone, package theft, theft from vehicle, copper wire theft",Low
Cybercrime,Head of Cyber Crime Bureau,"email scam, internet scam, password theft",Medium
Fraud,Head of Financial Crimes Unit,"pretending to be, healthcare fraud, forgery, welfare fraud, card got charged, credit fraud",High
Drug-Related Offenses,Chief of Narcotics Control,"narcotic sales, needles found, weird smell, drug exchanges, cocaine",Critical
Assault,Commissioner of Law Enforcement,"group assault, threatened to hurt, roughed up, punch",Critical
Cybercrime,Head of Cyber Crime Bureau,"breach, keylogger, cyber security breach, pop-up scam",Critical
Drug-Related Offenses,Chief of Narcotics Control,"illegal prescriptions, late night activity, drug conspiracy, drug enforcement, ecstasy, pharmaceutical theft",High
Cybercrime,Head of Cyber Crime Bureau,"digital theft, computer infected, fake website, online stalking, webcam hacked",High
Drug-Related Offenses,Chief of Narcotics Control,"suspicious visitors, psychedelic drugs, weird smell, drug conspiracy",Critical
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, synthetic drugs, drug money",Low
Assault,Commissioner of Law Enforcement,"road rage incident, got beaten, unprovoked attack, threatened to hurt, coming after me, acting aggressive",Low
Fraud,Head of Financial Crimes Unit,"forgery, money transfer scam, ripped off, false promises, suspicious charge",Medium
Fraud,Head of Financial Crimes Unit,"internet fraud, healthcare fraud, telemarketing fraud, medicare fraud",Low
Theft,Directorate of Police,"auto theft, broke into my house, ran off with, made off with, car theft, robbed",Critical
Fraud,Head of Financial Crimes Unit,"advance fee fraud, credit fraud, ripped off, lottery scam, money disappeared, financial deception",Medium
Theft,Directorate of Police,"someone took my, stolen property, theft, steal",Medium
Cybercrime,Head of Cyber Crime Bureau,"hacking incident, internet scam, password stolen, malware, data leak, spam emails",Critical
Assault,Commissioner of Law Enforcement,"got jumped, violent outburst, fight, physical injury",High
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, email scam, online threats, data leak, website defacement, social engineering",High
Drug-Related Offenses,Chief of Narcotics Control,"lots of traffic, ecstasy, crystal meth, drug enforcement, people coming and going",Low
Theft,Directorate of Police,"stolen package, laptop stolen, package theft, disappeared with, missing",High
Cybercrime,Head of Cyber Crime Bureau,"malware, online scam, online stalking, breach, account hacked",High
Drug-Related Offenses,Chief of Narcotics Control,"drug cultivation, drug house, narcotics, substance abuse, drug money, suspicious visitors",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber threat, data leak, breach, social engineering, internet fraud, trojan horse",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug money, pharmaceutical theft, drugs, constant visitors, people coming and going",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, cyber blackmail, computer virus, breach, online stalking, spam emails",Medium
Assault,Commissioner of Law Enforcement,"physical harassment, threw punches, gang violence, attacked me",Low
Drug-Related Offenses,Chief of Narcotics Control,"psychedelic drugs, illegal substances, opioids, cocaine",Low
Drug-Related Offenses,Chief of Narcotics Control,"people coming and going, fentanyl, drug distribution",High
Assault,Commissioner of Law Enforcement,"aggressive behavior, assault with weapon, punch",Critical
Theft,Directorate of Police,"laptop stolen, purse snatching, theft",Critical
Fraud,Head of Financial Crimes Unit,"investment scam, took my money, identity stolen, inheritance scam",Critical
Theft,Directorate of Police,"ran off with, disappeared with, nicked my, car gone, ransacked, grand theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, late night activity, drug exchanges, drug cultivation, synthetic drugs",Medium
Cybercrime,Head of Cyber Crime Bureau,"online threats, password stolen, data theft",Medium
Theft,Directorate of Police,"grand theft, looted, went missing from, catalytic converter theft",Medium
Theft,Directorate of Police,"package theft, theft, cash stolen, pickpocket",Critical
Assault,Commissioner of Law Enforcement,"violent behavior, threatening, physical injury, picked a fight",Low
Theft,Directorate of Police,"emptied my, pickpocket, pinched my, robbed, purse snatching",Critical
Fraud,Head of Financial Crimes Unit,"ripped off, pretending to be, fake company, forgery, inheritance scam",Medium
Drug-Related Offenses,Chief of Narcotics Control,"designer drugs, drug exchanges, prescription drugs, street drugs, drug manufacturing",Critical
Theft,Directorate of Police,"smartphone theft, snatched, lifted my wallet",High
Drug-Related Offenses,Chief of Narcotics Control,"drug manufacturing, drug dealing, sketchy behavior",Low
Fraud,Head of Financial Crimes Unit,"fake investment, identity stolen, insurance fraud",High
Cybercrime,Head of Cyber Crime Bureau,"data theft, cyber stalking, database breach",High
Fraud,Head of Financial Crimes Unit,"suspicious call, tax fraud, suspicious charge, romance scam, securities fraud",Critical
Theft,Directorate of Police,"break-in, shoplifting, stolen property",Critical
Assault,Commissioner of Law Enforcement,"got jumped, getting threatening, fight",High
Drug-Related Offenses,Chief of Narcotics Control,"methamphetamine, drug paraphernalia, street drugs, selling drugs, drug cartel",Medium
Fraud,Head of Financial Crimes Unit,"bank fraud, fake currency, investment scam, investment fraud, fake website, mail fraud",High
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, possession, drug addiction, drug cultivation, drug distribution",Low
Cybercrime,Head of Cyber Crime Bureau,"online harassment, cyber harassment, database breach, computer virus, fake profile",Low
Fraud,Head of Financial Crimes Unit,"real estate fraud, identity fraud, tax fraud, romance scam, identity theft",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber bullying, keylogger, online impersonation, hacking incident, weird emails",Low
Theft,Directorate of Police,"nicked my, burglary, shoplifting, lifted my wallet",Low
Cybercrime,Head of Cyber Crime Bureau,"fake profile, online stalking, keylogger",Medium
